iter	Passed	Remaining
666	46722	23326
667	46792	23256
668	46862	23185
669	46932	23116
670	46994	23041
671	47065	22972
672	47137	22903
673	47206	22832
674	47274	22761
675	47342	22690
676	47411	22620
677	47479	22549
678	47542	22475
679	47610	22404
680	47686	22337
681	47759	22269
682	47832	22200
683	47901	22129
684	47970	22059
685	48044	21991
686	48109	21918
687	48167	21843
688	48222	21766
689	48283	21692
690	48341	21617
691	48399	21542
692	48461	21468
693	48520	21393
694	48579	21318
695	48647	21248
696	48717	21178
697	48790	21110
698	48863	21041
699	48934	20971
700	49007	20903
701	49076	20833
702	49147	20763
703	49217	20693
704	49281	20621
705	49353	20552
706	49420	20481
707	49492	20412
708	49561	20341
709	49630	20271
710	49700	20201
711	49765	20130
712	49837	20060
713	49906	19990
714	49978	19921
715	50181	19904
716	50248	19833
717	50311	19760
718	50395	19695
719	50475	19629
720	50650	19600
721	50726	19531
722	50810	19466
723	50870	19392
724	50946	19324
725	51029	19259
726	51107	19191
727	51170	19118
728	51234	19046
729	51293	18971
730	51355	18898
731	51418	18825
732	51475	18750
733	51537	18677
734	51599	18603
735	51659	18530
736	51717	18455
737	51779	18382
738	51840	18308
739	51900	18235
740	51963	18162
741	52030	18091
742	52115	18026
743	52185	17956
744	52252	17885
745	52333	17818
746	52502	17782
747	52604	17722
748	52675	17652
749	52734	17578
750	52797	17505
751	52856	17431
752	52920	17358
753	52981	17285
754	53034	17209
755	53104	17139
756	53161	17064
757	53215	16989
758	53272	16915
759	53333	16842
760	53394	16769
761	53449	16694
762	53506	16619
763	53578	16550
764	53683	16491
765	53833	16445
766	53908	16376
767	53970	16303
768	54032	16230
769	54084	16155
770	54143	16081
771	54195	16005
772	54248	15930
773	54299	15854
774	54349	15779
775	54400	15703
776	54455	15628
777	54512	15554
778	54568	15481
779	54618	15405
780	54670	15330
781	54719	15254
782	54770	15179
783	54822	15104
784	54875	15029
785	54926	14954
786	54979	14880
787	55028	14804
788	55080	14730
789	55140	14657
790	55194	14583
791	55245	14508
792	55296	14434
793	55348	14360
794	55404	14286
795	55452	14211
796	55504	14137
797	55555	14062
798	55607	13988
799	55660	13915
800	55712	13841
801	55764	13767
802	55820	13694
803	55872	13620
804	55929	13548
805	55986	13475
806	56038	13402
807	56095	13329
808	56144	13255
809	56196	13181
810	56245	13107
811	56295	13033
812	56347	12960
813	56397	12886
814	56458	12815
815	56513	12743
816	56566	12670
817	56620	12597
818	56673	12524
819	56726	12452
820	56785	12380
821	56837	12307
822	56892	12235
823	56944	12162
824	56996	12090
825	57050	12017
826	57104	11945
827	57156	11873
828	57206	11800
829	57259	11727
830	57308	11654
831	57359	11582
832	57414	11510
833	57463	11437
834	57517	11365
835	57573	11294
836	57627	11222
837	57679	11150
838	57731	11078
839	57787	11007
840	57840	10935
841	57892	10863
842	57941	10791
843	57995	10719
844	58047	10647
845	58098	10575
846	58150	10504
847	58199	10431
848	58251	10360
849	58302	10288
850	58355	10217
851	58407	10145
852	58457	10074
853	58511	10003
854	58564	9931
855	58619	9861
856	58668	9789
857	58722	9718
858	58774	9647
859	58832	9577
860	58887	9506
861	58936	9435
862	58984	9363
863	59038	9293
864	59094	9222
865	59147	9152
866	59198	9081
867	59247	9010
868	59298	8939
869	59352	8868
870	59408	8798
871	59471	8729
872	59533	8660
873	59596	8591
874	59656	8522
875	59719	8453
876	59783	8384
877	59880	8320
878	59954	8253
879	60055	8189
880	60141	8123
881	60221	8056
882	60301	7990
883	60383	7923
884	60463	7856
885	60542	7789
886	60776	7742
887	60852	7675
888	60925	7607
889	60995	7538
890	61063	7470
891	61131	7401
892	61205	7333
893	61269	7264
894	61323	7194
895	61374	7123
896	61424	7053
897	61476	6982
898	61529	6912
899	61581	6842
900	61631	6771
901	61680	6701
902	61733	6631
903	61787	6561
904	61844	6491
905	61894	6421
906	61947	6351
907	61997	6281
908	62047	6211
909	62100	6141
910	62154	6072
911	62209	6002
912	62263	5933
913	62316	5863
914	62367	5793
915	62418	5723
916	62468	5654
917	62517	5584
918	62568	5514
919	62621	5445
920	62675	5376
921	62727	5306
922	62784	5237
923	62838	5168
924	62888	5099
925	62943	5030
926	62993	4960
927	63044	4891
928	63095	4822
929	63148	4753
930	63200	4683
931	63252	4614
932	63303	4545
933	63354	4476
934	63406	4407
935	63457	4338
936	63506	4269
937	63561	4201
938	63611	4132
939	63663	4063
940	63714	3994
941	63772	3926
942	63827	3858
943	63882	3789
944	63935	3721
945	63989	3652
946	64039	3584
947	64090	3515
948	64144	3447
949	64198	3378
950	64249	3310
951	64305	3242
952	64360	3174
953	64416	3106
954	64468	3037
955	64518	2969
956	64571	2901
957	64625	2833
958	64678	2765
959	64731	2697
960	64784	2629
961	64838	2561
962	64890	2493
963	64943	2425
964	64995	2357
965	65048	2289
966	65100	2221
967	65152	2153
968	65206	2086
969	65259	2018
970	65311	1950
971	65366	1882
972	65421	1815
973	65471	1747
974	65525	1680
975	65575	1612
976	65624	1544
977	65681	1477
978	65738	1410
979	65802	1342
980	65867	1275
981	65930	1208
982	65989	1141
983	66044	1073
984	66093	1006
985	66143	939
986	66193	871
987	66245	804
988	66298	737
989	66353	670
990	66403	603
991	66452	535
992	66502	468
993	66555	401
994	66608	334
995	66663	267
996	66716	200
997	66767	133
998	66823	66
999	66877	0
